"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7412","@MA-15 connexion","webkit","Fri Dec 06 11:22:21 UTC 2024","passed","Fri Dec 06 11:22:28 UTC 2024","","login.spec.ts","",""
"","11490","@MA-15 connexion","firefox","Fri Dec 06 11:22:06 UTC 2024","passed","Fri Dec 06 11:22:18 UTC 2024","","login.spec.ts","",""
"","8867","@MA-1 Ajout collaborateur","chromium","Fri Dec 06 11:22:07 UTC 2024","passed","Fri Dec 06 11:22:16 UTC 2024","","baseconnexion.spec.ts","",""
"","16196","@MA-1 Ajout collaborateur","firefox","Fri Dec 06 11:22:07 UTC 2024","passed","Fri Dec 06 11:22:23 UTC 2024","","baseconnexion.spec.ts","",""
"","5209","@MA-15 connexion","chromium","Fri Dec 06 11:22:06 UTC 2024","passed","Fri Dec 06 11:22:11 UTC 2024","","login.spec.ts","",""
"","17176","@MA-1 Ajout collaborateur","webkit","Fri Dec 06 11:22:19 UTC 2024","passed","Fri Dec 06 11:22:36 UTC 2024","","baseconnexion.spec.ts","",""
